word,definition
"accidentally","without advance planning"
"accidentally","without intention"
"accidentally","of a minor or subordinate nature"
"aggressively","in an aggressive manner"
"additionally","in addition, by way of addition"
"anatomically","with respect to anatomy"
"antecedently","at an earlier time or formerly"
"abstractedly","in an absentminded or preoccupied manner"
"artificially","not according to nature"
"acoustically","with respect to acoustics"
"adulterously","behaving in such a way as to indicate infidelity or cheating on a partner or spouse"
"academically","in regard to academic matters"
"appositively","in an appositive manner"
"amateurishly","in an amateurish manner"
"analytically","by virtue of analysis"
"anarchically","in a lawless rebellious manner"
"attractively","in a beautiful manner"
"auspiciously","in an auspicious manner"
"artistically","in an artistic manner"
"articulately","in an articulate manner"
"articulately","with eloquence"
"avariciously","in a greedy manner"
"abstemiously","in a sparing manner"
"assimilating","capable of taking (gas, light, or liquids) into a solution"
"assimilative","capable of taking (gas, light, or liquids) into a solution"
"assimilative","capable of mentally absorbing"
"assimilatory","capable of taking (gas, light, or liquids) into a solution"
"adjectivally","as an adjective"
"acid-forming","yielding an acid in aqueous solution"
"approachable","easily approached"
"approachable","easy to meet or converse or do business with"
"approachable","capable of being read with comprehension"
"acidophilous","especially of some bacteria"
"acknowledged","recognized or made known or admitted"
"acknowledged","generally accepted"
"accumulative","marked by acquiring or amassing"
"accumulative","increasing by successive addition"
"adaptational","of or relating to adaptation"
"apprehensive","in fear or dread of possible evil or harm"
"apprehensive","mentally upset over possible misfortune or danger etc"
"apprehensive","quick to understand"
"anaerobiotic","living or active in the absence of free oxygen"
"advantageous","giving an advantage"
"advantageous","appropriate for achieving a particular end"
"assassinated","murdered by surprise attack for political reasons"
"appropriable","that can be appropriated"
"ambitionless","having little desire for success or achievement"
"alphabetical","arranged in order according to the alphabet"
"alphabetical","relating to or expressed by a writing system that uses an alphabet"
"alphabetized","having been put in alphabetical order"
"alphabetised","having been put in alphabetical order"
"analphabetic","not alphabetic"
"analphabetic","having little acquaintance with writing"
"analphabetic","relating to or expressed by a writing system that is not alphabetic"
"analphabetic","an illiterate person who does not know the alphabet"
"anastigmatic","not astigmatic"
"anastigmatic","pertaining to a lens or lens system free of astigmatism (able to form point images)"
"accompanying","following or accompanying as a consequence"
"antemeridian","before noon"
"anticipatory","in anticipation"
"argillaceous","resembling or containing clay"
"armor-plated","covered with heavy steel"
"attributable","capable of being attributed"
"absentminded","lost in thought"
"anemophilous","of flowering plants (especially grasses etc) that are pollinated by the wind"
"ameliorating","tending to ameliorate"
"ameliorative","tending to ameliorate"
"amelioratory","tending to ameliorate"
