word,definition
"as luck would have it","by good fortune"
"as a matter of fact","in reality or actuality"
"arcuate artery of the kidney","curved arteries of the kidney"
"artery of the penis bulb","a branch of the internal pudendal artery of males that supplies the bulb of the penis"
"artery of the vestibule bulb","a branch of the internal pudendal artery in females that supplies the bulb of the vestibule"
"arcuate vein of the kidney","veins that receive blood from interlobular veins of kidney and rectal venules"
"apex of the sun's way","the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars"
"a cold day in hell","time of occurrence of an event that will never happen"
"a cold day in July ","time of occurrence of an event that will never happen"
"a hundred and ten percent","a level of effort exceeding one's sustained capacity, seemingly above what is possible"
"a life of its own","independent existence with some characteristics of life"
"a little bird told me","concerning information from a source not to be overtly exposed"
"a Roland for an Oliver","measure for measure, an adequate response"
"a week from next Tuesday","some unspecified time in the future"
"add fuel to the fire","to make a situation worse by adding to the cause of the problem"
"by hook or by crook","in any way necessary"
"bright as a new penny","(metaphor) shining brightly"
"black and gold garden spider","a widely distributed North American garden spider"
"basic point defense missile system","a shipboard missile system"
"be all and end all","the essential factor"
"blow out of the water","to surprise greatly"
"come hell or high water","in spite of all obstacles"
"central artery of the retina","a branch of the ophthalmic artery"
"circumflex artery of the thigh","an artery that supplies the hip joint and thigh muscles"
"central vein of suprarenal gland","a single draining vein"
"coronoid process of the mandible","the coronoid process that provides an attachment for the temporal muscle"
"combination in restraint of trade","(law) any monopoly or contract or combination or conspiracy intended to restrain commerce (which are illegal according to antitrust laws of the United States)"
"come to think of it","upon relfection"
"day in and day out","without respite"
"dead hand of the past","the oppressive influence of past events or decisions"
"department of the federal government","a department of the federal government of the United States"
"equal protection of the laws","a right guaranteed by the Fourteenth Amendment to the US Constitution and by the due-process clause of the Fifth Amendment"
"eigenvalue of a square matrix","(mathematics) any number such that a given square matrix minus that number times the identity matrix has a zero determinant"
"for all intents and purposes","in every practical sense"
"freedom from search and seizure","a right guaranteed by the 4th amendment to the US Constitution"
"fruit of the poisonous tree","a rule that once primary evidence is determined to have been illegally obtained any secondary evidence following from it may also not be used"
"filet de boeuf en croute","rare-roasted beef tenderloin coated with mushroom paste in puff pastry"
"false lily of the valley","small two-leaved herb of the northern United States and parts of Canada having racemes of small fragrant white flowers"
"false lily of the valley","small white-flowered plant of western Europe to Japan"
"fibrocystic disease of the pancreas","the most common congenital disease"
"fibrocystic disease of the breast","the presence of one or more cysts in a breast"
"full phase of the moon","the time when the Moon is fully illuminated"
"feel like a million dollars","be in excellent health and spirits"
"fly in the face of","go against"
"fly in the teeth of","go against"
"give it the deep six","toss out"
"hereditary motor and sensory neuropathy","a form of neuropathy that can begin between childhood and young adulthood"
"in the nick of time","at the last possible moment"
"law of action and reaction","action and reaction are equal and opposite"
"law of conservation of energy","the fundamental principle of physics that the total energy of an isolated system is constant despite internal changes"
"law of conservation of mass","a fundamental principle of classical physics that matter cannot be created or destroyed in an isolated system"
"law of conservation of matter","a fundamental principle of classical physics that matter cannot be created or destroyed in an isolated system"
"letter of mark and reprisal","a license to a private citizen to seize property of another nation"
"minimally invasive coronary bypass surgery","heart surgery in which a coronary bypass is performed on the beating heart by the use of small instruments and cameras threaded through small incisions"
"musculus abductor digiti minimi manus","the abductor muscle of the little finger"
"musculus abductor digiti minimi pedis","the abductor muscles of the little toe"
"mean deviation from the mean","the arithmetic mean of the absolute values of deviations from the mean of a distribution"
"make a clean breast of","admit or acknowledge a wrongdoing or error"
"not by a long sight","definitely not"
"not by a blame sight","definitely not"
"new phase of the moon","the time at which the Moon appears as a narrow waxing crescent"
"on the face of it","from appearances alone"
"occupational safety and health act","a law passed by the United States Congress that created the Occupational Safety and Health Administration to prevent employees from being injured or contracting diseases in the course of their employment"
"old man of the mountain","whitish hairy plant with featherlike leaves and a few stout stems each bearing an especially handsome solitary large yellow flower head"
"primary subtractive color for light","any of the three colors that give the primary colors for light after subtraction from white light"
"primary subtractive colour for light","any of the three colors that give the primary colors for light after subtraction from white light"
"post hoc ergo propter hoc","the logical fallacy of believing that temporal succession implies a causal relation"
"physiological jaundice of the newborn","yellowish appearance in newborn infants"
"periodic apnea of the newborn","irregular breathing of newborns"
"pull out all the stops","use all resources available"
"pull a fast one on","deceive somebody"
"rhythm method of birth control","natural family planning in which ovulation is assumed to occur 14 days before the onset of a period (the fertile period would be assumed to extend from day 10 through day 18 of her cycle)"
"round ligament of the uterus","ligament attached to the uterus on either side in front of and below the opening of the Fallopian tube and passing through the inguinal canal to the labia majora"
"regression of y on x","the equation representing the relation between selected values of one variable (x) and observed values of the other (y)"
"since a long time ago","since long ago"
"ship-towed long-range acoustic detection system","a shipboard system consisting of an acoustic detection system that is towed behind the ship"
"sense of right and wrong","motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions"
"system of weights and measures","system of measurement for length and weight and duration"
"to all intents and purposes","in every practical sense"
"too big for one's breeches","(used colloquially) overly conceited or arrogant"
"technical analysis of stock trends","(stock exchange) analysis of past price changes in the hope of forecasting future price changes"
"trivalent live oral poliomyelitis vaccine","an oral vaccine (containing live but weakened poliovirus) that is given to provide immunity to poliomyelitis"
"take it on the chin","undergo failure or defeat"
"trip the light fantastic toe","move in a pattern"
"take time by the forelock","act quickly and decisively"
"use of goods and services","(economics) the utilization of economic goods to satisfy needs or in manufacturing"
"wild lily of the valley","North American evergreen with small pinkish bell-shaped flowers and oblong leaves used formerly for shinplasters"
"wild lily of the valley","evergreen with rounded leaves and very fragrant creamy-white flowers"
