word,definition
"at a lower place","in or to a place that is lower"
"all of a sudden","happening unexpectedly"
"all of a sudden","without warning"
"as far as possible","to a feasible extent"
"as much as possible","to a feasible extent"
"at the same time","at the same instant"
"at the same time","overlapping in duration"
"as if by magic","in a magical manner"
"as the crow flies","by the shortest and most direct route"
"at a low price","for a relatively small amount of money"
"ahead of the game","in an advantageous position"
"at an equal rate","used in legal language"
"abatement of a nuisance","(law) the removal or termination or destruction of something that has been found to be a nuisance"
"anointing of the sick","a Catholic sacrament"
"automatic data processing system","a system of one or more computers and associated software with common storage"
"artery of the labyrinth","an artery that is a branch of the basilar artery that supplies the labyrinth"
"area of cardiac dullness","a triangular area of the front of the chest (determined by percussion)"
"atrium of the heart","the upper chamber of each half of the heart"
"area 17 of Brodmann","the part of the occipital cortex that receives the fibers of the optic radiation from the lateral geniculate body and is the primary receptive area for vision"
"abdominal external oblique muscle","a diagonally arranged abdominal muscle on either side of the torso"
"anonymous file transfer protocol","a common way to make software available"
"African American Vernacular English","a nonstandard form of American English characteristically spoken by African Americans in the United States"
"al Itihaad al Islamiya","a fundamentalist Islamic group in Somalia who initially did fundraising for al-Qaeda"
"al Sunna Wal Jamma","a resurgent Islamic fundamentalist organization based in Nigeria that is thought to be planning terrorist attacks"
"accessory after the fact","a person who gives assistance or comfort to someone known to be a felon or known to be sought in connection with the commission of a felony"
"accessory before the fact","a person who procures or advises or commands the commission of a felony but who is not present at its perpetration"
"accessory during the fact","a person who witnesses a crime but does not try to prevent it"
"acute organic brain syndrome","any disorder (as sudden confusion or disorientation) in an otherwise normal person that is due to reversible (temporary) impairment of brain tissues (as by head injuries or drugs or infection)"
"adult respiratory distress syndrome","acute lung injury characterized by coughing and rales"
"attention deficit hyperactivity disorder","a condition (mostly in boys) characterized by behavioral and learning disorders"
"acute inclusion body encephalitis","common form of acute encephalitis caused by herpes simplex 1"
"accident waiting to happen","thing or situation which is almost certain to eventually lead to an accident"
"ace in the hole ","a hidden or secret strength, or unrevealed advantage"
"ace up one's sleeve","surprise advantage of which others are not aware"
"add insult to injury","to worsen an unpleasant situation"
"after one's own heart","someone sharing the same behaviours, thoughts, feelings, and opinions"
"by trial and error","in an empirical manner"
"by a long shot","by a great deal"
"by fits and starts","intermittently"
"by word of mouth","by spoken rather than written means"
"by word of mouth","orally"
"by right of office","by virtue of position"
"breach of the peace","any act of molesting, interrupting, hindering, agitating, or arousing from a state of repose or otherwise depriving inhabitants of the peace and quiet to which they are entitled"
"basal body temperature method","natural family planning in which the fertile period of the woman's menstrual cycle is inferred by noting the rise in basal body temperature that typically occurs with ovulation"
"blue wall of silence","the secrecy of police officers who lie or look the other way to protect other police officers"
"burning at the stake","execution by fire"
"breath of fresh air","a welcome relief"
"bread and butter pickle","thinly sliced sweet pickles"
"broth of a boy","an outstanding person"
"broth of a man","an outstanding person"
"black root rot fungus","fungus causing black root rot in apples"
"brown root rot fungus","fungus causing brown root rot in plants of the pea and potato and cucumber families"
"balance of international payments","a system of recording all of a country's economic transactions with the rest of the world over a period of one year"
"break of the day","the first light of day"
"blink of an eye","a very short time (as the time it takes the eye to blink or the heart to beat)"
"bottom of the inning","the second half of an inning"
"be on the ball","to be well-informed"
"beat around the bush","to be deliberately ambiguous or unclear in order to mislead or withhold information"
"be on cloud nine","to feel extreme happiness or elation"
"bring home the bacon","to supply means of subsistence"
"bring home the bacon","to attain success or reach a desired goal"
"close to the wind","nearly opposite to the direction from which wind is coming"
"coronary artery bypass graft","open-heart surgery in which the rib cage is opened and a section of a blood vessel is grafted from the aorta to the coronary artery to bypass the blocked section of the coronary artery and improve the blood supply to the heart"
"creating from raw materials","the act of creating something that is different from the materials that went into it"
"creating by mental acts","the act of creating something by thinking"
"cruel and unusual punishment","punishment prohibited by the 8th amendment to the U.S. Constitution"
"cock of the rock","tropical bird of northern South America the male having brilliant red or orange plumage and an erectile disklike crest"
"cock of the rock","bird of the Andes similar to Rupicola rupicola"
"computerized axial tomography scanner","a tomograph that constructs a 3-D model of an object by combining parallel planes"
"camphorated tincture of opium","medicine used to treat diarrhea"
"complex instruction set computing","(computer science) a kind of computer architecture that has a large number of instructions hard coded into the CPU chip"
"complex instruction set computer","(computer science) a kind of computer architecture that has a large number of instructions hard coded into the CPU chip"
"conjunctival layer of bulb","the part of the conjunctiva covering the anterior face of the sclera and the surface epithelium of the cornea"
"conjunctival layer of eyelids","the part of the conjunctiva lining the posterior surface of the eyelids"
"central veins of liver","terminal branches of the hepatic veins that lie in the hepatic lobules and receive blood from the liver sinusoids"
"central vein of retina","vein formed by the union of the retinal veins"
"cystic fibrosis transport regulator","the gene that is mutated in cystic fibrosis"
"castle in the air","absentminded dreaming while awake"
"corpuscular theory of light","(physics) the theory that light is transmitted as a stream of particles"
"cease and desist order","(law) a judicial remedy issued in order to prohibit a party from doing or continuing to do a certain activity"
"crux of the matter","the most important point"
"clean bill of health","an assurance that someone is healthy or something is in good condition"
"circuit court of appeals","one of the twelve federal United States courts of appeals that cover a group of states known as a `circuit'"
"court of domestic relations","a court in some states in the United States that has jurisdiction over family disputes (especially those involving children)"
"chairman of the board","the chairman of the board of directors of a corporation"
"collector of internal revenue","someone who collects taxes for the government"
"cosmic microwave background radiation","(cosmology) the cooled remnant of the hot big bang that fills the entire universe and can be observed today with an average temperature of about 2.725 kelvin"
"common St John's wort","deciduous bushy Eurasian shrub with golden yellow flowers and reddish-purple fruits from which a soothing salve is made in Spain"
"creeping St John's wort","creeping evergreen shrub with bright yellow star-shaped summer flowers"
"climbing bird's nest fern","tropical Africa to Australasia and Polynesia"
"commercial letter of credit","a letter of credit given to a business concern for commercial purposes"
"coefficient of mutual induction","a measure of the induction between two circuits"
"coefficient of self induction","the ratio of the electromotive force produced in a circuit by self-induction to the rate of change of current producing it, expressed in henries"
"cirrhosis of the liver","a chronic disease interfering with the normal functioning of the liver"
"cancer of the liver","malignant neoplastic disease of the liver usually occurring as a metastasis from another cancer"
"chronic obstructive pulmonary disease","a nonreversible lung disease that is a combination of emphysema and chronic bronchitis"
"cancer of the blood","malignant neoplasm of blood-forming tissues"
"clear and present danger","a standard for judging when freedom of speech can be abridged"
"cluster of differentiation 4","a glycoprotein that is found primarily on the surface of helper T cells"
"cluster of differentiation 8","a membrane glycoprotein that is found primarily on the surface of cytotoxic T cells"
"command processing overhead time","(computer science) the processing time required by a device prior to the execution of a command"
"cash in one's chips","to pass from physical life and lose all bodily attributes and functions necessary to sustain life"
"call on the carpet","to censure severely or angrily"
"chuck up the sponge","to give up in the face of defeat of lacking hope"
"come to the fore","to make oneself visible"
"call it a day","to stop doing what one is doing"
"day in day out","for an indefinite number of successive days"
"dressed to the nines","dressed in fancy or formal clothing"
"deaf as a post","totally deaf"
"down in the mouth","filled with melancholy and despondency"
"disturbance of the peace","any act of molesting, interrupting, hindering, agitating, or arousing from a state of repose or otherwise depriving inhabitants of the peace and quiet to which they are entitled"
"due process of law","(law) the administration of justice according to established rules and principles"
"dual inline package switch","(computer science) one of a set of small on-off switches mounted in computer hardware"
"deep middle cerebral vein","accompanies the middle cerebral artery deep in the Sylvian fissure"
"decimal system of classification","a system used by libraries to classify nonfictional publications into subject categories"
"degree of a term","the sum of the exponents of the variables in the term"
"degree of a polynomial","the degree of the term in the polynomial that has the highest degree"
"divine right of kings","the doctrine that kings derive their right to rule directly from God and are not accountable to their subjects"
"doubly transitive verb form","a transitive verb that takes both a direct and an indirect object"
"declaration of estimated tax","return required of a taxpayer whose tax withheld from income does not meet the tax liability for the year"
"domain of a function","(mathematics) the set of values of the independent variable for which a function is defined"
"department of computer science","the academic department responsible for teaching and research in computer science"
"department of local government","a permanent department created to perform the work of a local government"
"dog in the manger","someone who prevents you from enjoying something that they themselves have no need for"
"disease of the skin","a disease affecting the skin"
"detachment of the retina","visual impairment resulting from the retina becoming separated from the choroid in the back of the eye"
"day of the week","any one of the seven days in a week"
"draw a bead on","have an ambitious plan or a lofty goal"
"draw a bead on","aim with a gun"
"drag through the mud","speak unfavorably about"
"drop by the wayside","give up in the face of defeat of lacking hope"
"do a job on","destroy completely or make ugly or useless"
"every now and then","occasionally"
"erasable programmable read-only memory","(computer science) a read-only memory chip that can be erased by ultraviolet light and programmed again with new data"
"equality before the law","the right to equal protection of the laws"
"eigenvalue of a matrix","(mathematics) any number such that a given square matrix minus that number times the identity matrix has a zero determinant"
"employee stock ownership plan","a program under which employees regularly accumulate shares and may ultimately assume control of the company"
"end of the world","an unpleasant or disastrous destiny"
"end of the world","(New Testament) day at the end of time following Armageddon when God will decree the fates of all individual humans according to the good and evil of their earthly lives"
"estate of the realm","a major social class or order of persons regarded collectively as part of the body politic of the country especially in the United Kingdom and formerly possessing distinct political rights"
"electrical line of force","a line of force in an electrical field"
"eau de cologne mint","mint with leaves having perfume like that of the bergamot orange"
"element of a cone","a straight line joining the apex and a point on the base"
"element of a cylinder","a straight line running the length of the cylinder"
"embryoma of the kidney","malignant renal tumor of young children characterized by hypertension and blood in the urine and the presence of a palpable mass"
"from time to time","now and then or here and there"
"for the most part","in large part"
"for the time being","temporarily"
"for all practical purposes","in every practical sense"
"forever and a day","for a very long or seemingly endless time"
"for the first time","the initial time"
"for a bargain price","for a relatively small amount of money"
"for love or money","under any circumstances"
"for all the world","under any circumstances"
"from start to finish","completely"
"from head to toe","at all points from head to foot"
"from pillar to post","from one place or situation to another"
