word,definition
"alright","in a satisfactory or adequate manner"
"alright","an expression of agreement normally occurring at the beginning of a sentence"
"alright","without doubt (used to reinforce an assertion)"
"alright","nonstandard usage"
"anyways","used to indicate that a statement explains or supports a previous statement"
"anymore","at the present or from now on"
"already","prior to a specified or implied time"
"awfully","used as intensifiers"
"awfully","in a terrible manner"
"awfully","of a dreadful kind"
"aurally","with regard to sound or the ear"
"axially","with respect to an axis"
"acutely","having a rapid onset"
"acutely","in a shrewd manner"
"acutely","in an acute manner"
"acutely","changing suddenly in direction and degree"
"apropos","introducing a different topic"
"apropos","at an opportune time"
"apropos","of an appropriate or pertinent nature"
"asunder","widely separated especially in space"
"asunder","into parts or pieces"
"agilely","in a nimble or agile manner"
"affably","in an affable manner"
"amiably","in an affable manner"
"angrily","with anger"
"abreast","alongside each other, facing in the same direction"
"abreast","being up to particular standard or level especially in being up to date in knowledge"
"andante","at a moderately slow tempo"
"andante","(of tempo) moderately slow"
"andante","a musical composition or musical passage to be performed moderately slow"
"andante","a moderately slow tempo (a walking pace)"
"audibly","in an audible manner"
"athwart","at an oblique angle"
"athwart","at right angles to the center line of a ship"
"aground","with the bottom lodged on the ground"
"aground","stuck in a place where a ship can no longer float"
"astride","with one leg on each side"
"astride","with the legs stretched far apart"
"alertly","in mentally perceptive and responsive way"
"allegro","in a quick and lively tempo"
"allegro","(of tempo) fast"
"allegro","a musical composition or musical passage to be performed quickly in a brisk lively manner"
"allegro","a brisk and lively tempo"
"askance","with a side or oblique glance"
"askance","with suspicion or disapproval"
"askance","directed to one side with, or as if with doubt, suspicion, or envy, used especially of glances"
"abaxial","facing away from the axis of an organ or organism"
"adaxial","nearest to or facing toward the axis of an organ or organism"
"ascetic","practicing great self-denial"
"ascetic","pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline"
"ascetic","someone who practices self denial as a spiritual discipline"
"austere","practicing great self-denial"
"austere","of a stern or strict bearing or demeanor"
"austere","severely simple"
"alkalic","relating to or containing an alkali"
"addable","capable of being added or added to"
"addible","capable of being added or added to"
"abeyant","inactive but capable of becoming active"
"adorned","provided with something intended to increase its beauty or distinction"
"afeared","a pronunciation of afraid"
"alarmed","experiencing a sudden sense of danger"
"advised","having the benefit of careful prior consideration or counsel"
"advised","having received information"
"aerobic","depending on free oxygen or air"
"aerobic","based on or using the principles of aerobics"
"aroused","(of persons) excessively affected by emotion"
"aroused","emotionally aroused"
"aroused","aroused to action"
"aroused","brought to a state of great tension"
"angered","marked by extreme anger"
"animate","endowed with feeling and unstructured consciousness"
"animate","endowed with animal life as distinguished from plant life"
"animate","belonging to the class of nouns that denote living beings"
"animate","to give new life or energy to"
"animate","to make lively"
"animate","to give lifelike qualities to"
"animate","to heighten or intensify"
"aquatic","operating or living or growing in water"
"aquatic","relating to or consisting of or being in water"
"aquatic","a plant that lives in or on water"
"aphonic","being without sound through injury or illness and thus incapable of all but whispered speech"
"apteral","having columns at one or both ends but not along the sides"
"apteral","(of insects) without wings"
"armlike","resembling an arm"
"armless","having no arms"
"astylar","lacking columns or pillars"
"ashamed","feeling shame or guilt or embarrassment or remorse"
"armored","protected by armor (used of persons or things military)"
"armored","used of animals"
"armored","equipped with the complete arms and armor of a warrior"
"artless","simple and natural"
"artless","characterized by an inability to mask your feelings"
"artless","(of persons) lacking art or knowledge"
"artless","showing lack of art"
"aphasic","someone affected by aphasia or inability to use or understand language"
"aphasic","unable to speak because of a brain lesion"
"aphasic","related to or affected by aphasia"
"affixed","firmly attached"
"audible","heard or perceptible by the ear"
"audible","a football play is changed orally after both teams have assumed their positions at the line of scrimmage"
"amended","modified for the better"
"amended","of legislation"
"awnless","lacking or having only very short awns"
"aphotic","lacking light"
"acaudal","lacking a tail or taillike appendage"
"anurous","not having a tail"
"astatic","not static or stable"
"assured","marked by assurance"
"assured","characterized by certainty or security"
"altered","changed in form or character without becoming something else"
"altered","changed in order to improve or made more fit for a particular purpose"
"altered","having testicles or ovaries removed"
"aureate","having the deep slightly brownish color of gold"
"aureate","elaborately or excessively ornamented"
"avocado","of the dull yellowish green of the meat of an avocado"
"avocado","a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed"
"avocado","tropical American tree bearing large pulpy green fruits"
"attired","dressed or clothed especially in fine attire"
"arrayed","in ceremonial attire and paraphernalia"
"ambient","completely enveloping"
"awkward","socially uncomfortable"
"awkward","causing inconvenience"
"awkward","hard to deal with"
"awkward","not elegant or graceful in expression"
"awkward","lacking grace or skill in manner or movement or performance"
"awkward","difficult to handle or manage especially because of shape"
"average","lacking special distinction, rank, or status"
"average","around the middle of a scale of evaluation"
"average","approximating the statistical norm or average or expected value"
"average","relating to or constituting the middle value of an ordered set of values (or the average of the middle two in a set with an even number of values)"
"average","relating to or constituting the most frequent value in a distribution"
"average","lacking exceptional quality or ability"
"average","an intermediate scale value regarded as normal or usual"
"average","a statistic describing the location of a distribution"
"average","(sports) the ratio of successful performances to opportunities"
"average","to compute the average of"
"average","to achieve or reach on average"
"average","to amount to or come to an average, without loss or gain"
"aliquot","signifying an exact divisor or factor of a quantity"
"aliquot","an integer that is an exact divisor of some quantity"
"all-out","using all available resources"
"allover","covering the entire surface"
"abashed","feeling or caused to feel uneasy and self-conscious"
"affined","closely related"
"antacid","acting to neutralize acid (especially in the stomach)"
"antacid","an agent that counteracts or neutralizes acidity (especially in the stomach)"
"accurst","under a curse"
"alleged","declared but not proved"
"alleged","doubtful or suspect"
"abysmal","resembling an abyss in depth"
"abysmal","very great"
"abyssal","resembling an abyss in depth"
"abyssal","relating to ocean depths from 2000 to 5000 meters"
"acyclic","having an open chain structure"
"acyclic","not cyclic"
"arduous","difficult to accomplish"
"arduous","characterized by effort to the point of exhaustion"
"arduous","taxing to the utmost"
"aligned","brought into agreement or cooperation on the side of a faction, party, or cause"
"aligned","in a straight line"
"adjunct","of or relating to a person who is subordinate to another"
"adjunct","furnishing added support"
"adjunct","a construction that can be used to extend the meaning of a word or phrase but is not one of the main constituents of a sentence"
"adjunct","something added to another thing but not an essential part of it"
"adjunct","a person who is an assistant or subordinate to another"
"asquint","(used especially of glances) directed to one side with or as if with doubt or suspicion or envy"
"archean","of or relating to the earliest known rocks formed during the Precambrian Eon"
"actable","capable of being acted"
"archaic","little evolved from or characteristic of an earlier ancestral type"
"archaic","so extremely old as seeming to belong to an earlier period"
"applied","concerned with concrete problems or data rather than with fundamental principles"
"ablated","made smaller or less by melting or erosion or vaporization"
"athirst","extremely desirous or eager for"
"accrued","periodically accumulated over time"
"awaited","expected hopefully"
"antique","out of fashion"
"antique","belonging to or lasting from times long ago"
"antique","made in or typical of earlier times and valued for its age"
"antique","any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity"
"antique","an elderly man"
"antique","to give an antique appearance to"
"antique","to shop for antiques"
"apraxic","having uncoordinated muscular movements, symptomatic of a CNS disorder"
"adipose","composed of animal fat"
"adverse","in an opposing direction"
"adverse","contrary to your interests or welfare"
"adamant","impervious to pleas, persuasion, requests, reason"
"adamant","very hard native crystalline carbon valued as a gem"
"adopted","acquired as your own by free choice"
"apodous","(of snakes and eels) naturally footless"
"affable","diffusing warmth and friendliness"
"amiable","diffusing warmth and friendliness"
"amiable","disposed to please"
