word,definition
"anciently","in ancient times"
"all-fired","extremely"
"all-fired","extreme"
"abysmally","in a terrible manner"
"abusively","in an abusive manner"
"adoringly","with adoration"
"advisedly","with intention"
"afterward","happening at a time subsequent to a reference time"
"allowably","in a permissible manner"
"amusingly","in an entertaining and amusing manner"
"allegedly","according to what has been alleged"
"adamantly","inflexibly"
"anxiously","with anxiety or apprehension"
"aimlessly","without aim"
"amazingly","in an amazing manner"
"awkwardly","in an awkward manner"
"admirably","in an admirable manner"
"agreeably","in an enjoyable manner"
"adversely","in an negative manner"
"alongside","side by side"
"ashamedly","with a feeling of shame"
"assuredly","without a doubt"
"amorously","in an amorous manner"
"arduously","in an arduous manner"
"artlessly","in an ingenuous manner"
"artlessly","in a crude and unskilled manner"
"astraddle","with one leg on each side"
"austerely","in an austere fashion"
"amidships","at or near or toward the center of a ship"
"abducting","especially of muscles"
"adductive","especially of muscles"
"adducting","especially of muscles"
"absorbent","having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)"
"absorbent","a material having capacity or tendency to absorb another substance"
"abaxially","in an abaxial manner"
"adaxially","in an adaxial manner"
"adsorbent","having capacity or tendency to adsorb or cause to accumulate on a surface"
"adsorbent","a material having capacity or tendency to adsorb another substance"
"adsorbate","capable of being adsorbed or accumulated on a surface of a solid"
"adsorbate","a material that has been or is capable of being adsorbed"
"abstinent","self-restraining"
"abstinent","a person who refrains from drinking intoxicating beverages"
"ascetical","practicing great self-denial"
"ascetical","pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline"
"abounding","existing in abundance"
"addictive","causing or characterized by addiction"
"activated","(military) set up and placed on active assignment"
"activated","rendered active"
"activated","(of e.g. a molecule) made reactive or more reactive"
"activated","(of sewage) treated with aeration and bacteria to aid decomposition"
"acropetal","of leaves or flowers"
"acrobatic","vigorously active"
"avirulent","not virulent"
"adjustive","conducive to adjustment"
"alcoholic","addicted to alcohol"
"alcoholic","characteristic of or containing alcohol"
"alcoholic","a person who drinks alcohol to excess habitually"
"adjective","relating to court practice and procedure as opposed to the principles of law"
"adjective","of or relating to or functioning as an adjective"
"adjective","the word class that qualifies nouns"
"adjective","a word that expresses an attribute of something"
"addressed","(of mail) marked with a destination"
"adoptable","suitable or eligible for adoption"
"audacious","disposed to venture or take risks"
"audacious","unrestrained by convention or propriety"
"audacious","invulnerable to fear or intimidation"
"agonistic","struggling for effect"
"agonistic","striving to overcome in argument"
"agonistic","of or relating to the athletic contests held in ancient Greece"
"advisable","worthy of being recommended or suggested"
"anaerobic","living or active in the absence of free oxygen"
"anaerobic","not aerobic"
"aesthetic","concerning or characterized by an appreciation of beauty or good taste"
"aesthetic","pleasing in visually beautiful way"
"aesthetic","a philosophical theory attempting to explain and understand what is beautiful and why it might be considered that way"
"acceptive","inclined to accept rather than reject"
"acceptive","accepting willingly"
"accepting","tolerating without protest"
"alienable","transferable to another owner"
"agreeable","conforming to your own liking or feelings or nature"
"agreeable","prepared to agree or consent"
"agreeable","in keeping"
"ambiguous","open to two or more interpretations"
"ambitious","having a strong desire for success or achievement"
"ambitious","requiring full use of your abilities or resources"
"ametropic","of or relating to an abnormal condition of the eye in which visual images are not in focus on the retina"
"altricial","(of hatchlings) naked and blind and dependent on parents for food"
"anaclinal","of valleys and rivers"
"antenatal","occurring or existing before birth"
"attendant","following or accompanying as a consequence"
"attendant","being present (at meeting or event etc.) 'attendant members of the congreation'"
"attendant","an event or situation that happens at the same time as or in connection with another"
"attendant","a person who is present and participates in a meeting"
"attendant","someone who waits on or tends to or attends to the needs of another"
"anonymous","having no known name or identity or known source"
"anonymous","not known or lacking marked individuality"
"arboreous","inhabiting or frequenting trees"
"arboreous","resembling a tree in form and branching structure"
"arboreous","abounding in trees"
"advertent","giving attention"
"appendant","affixed as an appendage"
"assertive","aggressively self-assured"
"attentive","(often followed by `to') giving care or attention"
"attentive","taking heed"
"appealing","able to attract interest or draw favorable attention"
"appealing","(of characters in literature or drama) evoking empathic or sympathetic feelings"
"autogenic","originating within the body"
"automatic","operating with minimal human intervention"
"automatic","resembling the unthinking functioning of a machine"
"automatic","without volition or conscious control"
"automatic","a pistol that will keep firing until the ammunition is gone or the trigger is released"
"automatic","light machine gun"
"automated","operated by automation"
"appalling","causing consternation"
"appalling","an experience that appalls"
"available","obtainable or accessible and ready for use or service"
"available","convenient for use or disposal"
"available","not busy"
"atrocious","provoking horror"
"atrocious","exceptionally bad or displeasing"
"atrocious","shockingly brutal or cruel"
"assuasive","freeing from fear and anxiety"
"amorphous","without real or apparent crystalline form"
"amorphous","lacking the system or structure characteristic of living bodies"
"amorphous","having no definite form or distinct shape"
"antiblack","discriminatory especially on the basis of race or religion"
"apivorous","feeding on bees"
"alveolate","pitted with cell-like cavities (as a honeycomb)"
"acellular","not made up of or divided into cells"
"actuating","causing motion or action or change"
"anorectic","causing loss of appetite"
"anorectic","suffering from anorexia nervosa"
"anorectic","a person suffering from anorexia nervosa"
"avoidable","capable of being avoided or warded off"
"avertible","capable of being avoided or warded off"
"avertable","capable of being avoided or warded off"
"alterable","(of the punishment ordered by a court) capable of being changed to one less severe"
"alterable","capable of being changed or altered in some characteristic"
"albescent","becoming or shading into white"
"achromous","having no color"
"appareled","dressed or clothed especially in fine attire"
"appressed","pressed close to or lying flat against something"
"adpressed","pressed close to or lying flat against something"
"allocable","capable of being distributed"
"according","(followed by `to') as reported or stated by"
"according","(followed by `to') in agreement with or accordant with"
"aggregate","formed of separate units gathered into a mass or whole"
"aggregate","composed of a dense cluster of separate units such as carpels or florets or drupelets"
"aggregate","the whole amount"
"aggregate","a sum total of many heterogenous things taken together"
"aggregate","material such as sand or gravel used with cement and water to make concrete, mortar, or plaster"
"aggregate","to gather in a mass, sum, or whole"
"anecdotic","characterized by or given to telling anecdotes"
"anecdotal","characterized by or given to telling anecdotes"
"anecdotal","having the character of an anecdote"
"all-round","many-sided"
"accordant","being in agreement or harmony"
"accordant","in keeping"
"atrophied","(of an organ or body part) diminished in size or strength as a result of disease or injury or lack of use"
"aplanatic","free from or corrected for spherical aberration"
"amendable","capable of being corrected by additions"
"acritical","without a crisis"
"aliphatic","having carbon atoms linked in open chains"
