word,definition
"adrenocorticotropic","stimulating or acting on the adrenal cortex"
"auriculoventricular","relating to or affecting the atria and ventricles of the heart"
"adrenocorticotropin","a hormone produced by the anterior pituitary gland that stimulates the adrenal cortex"
"beggar-my-neighbour","a card game for two players in which the object is to win all of the other player's cards"
"bacteriochlorophyll","a substance in photosensitive bacteria that is related to but different from chlorophyll of higher plants"
"ballistocardiograph","a medical instrument that measures the mechanical force of cardiac contractions and the amount of blood passing through the heart during a specified period by measuring the recoil of the body as blood is pumped from the ventricles"
"chromatographically","by means of a chromatographic process"
"cytophotometrically","by cytophotometric means"
"cylindrical-stemmed","having a cylindrical stem"
"corrosion-resistant","impervious to corrosion"
"caterpillar-tracked","having caterpillar treads or tracks on the wheels"
"cross-fertilization","interchange between different cultures or different ways of thinking that is mutually productive and beneficial"
"cross-fertilization","fertilization by the union of male and female gametes from different individual of the same species"
"cross-fertilisation","interchange between different cultures or different ways of thinking that is mutually productive and beneficial"
"cross-fertilisation","fertilization by the union of male and female gametes from different individual of the same species"
"counterintelligence","intelligence activities concerned with identifying and counteracting the threat to security posed by hostile intelligence organizations or by individuals engaged in espionage or sabotage or subversion or terrorism"
"conventionalization","the act of conventionalizing"
"conventionalisation","the act of conventionalizing"
"contemporaneousness","the quality of belonging to the same period of time"
"contemporaneousness","the quality of being current or of the present"
"countertransference","the psychoanalyst's displacement of emotion onto the patient or more generally the psychoanalyst's emotional involvement in the therapeutic interaction"
"counterdemonstrator","someone who demonstrates in opposition to another demonstration"
"chromoblastomycosis","a fungal infection characterized by itchy warty nodules on the skin"
"cartilaginification","abnormal formation of cartilage from other tissues"
"columbite-tantalite","a valuable black mineral combining niobite and tantalite"
"diethylstilbesterol","synthetic nonsteroid with the properties of estrogen"
"diethylstilboestrol","a potent estrogen used in medicine and in feed for livestock and poultry"
"electrocardiography","diagnostic procedure consisting of recording the activity of the heart electronically with a cardiograph and producing a cardiogram"
"echoencephalography","a noninvasive diagnostic procedure that uses ultrasound to study the anatomy of the brain"
"encephalomeningitis","inflammation of the brain and spinal cord and their meninges"
"footsteps-of-spring","sanicle of northwestern United States and British Columbia having yellow flowers"
"glottochronological","pertaining to the study of the evolution of languages from a common source"
"good-neighborliness","a disposition to be friendly and helpful to neighbors"
"government-in-exile","a temporary government moved to or formed in a foreign land by exiles who hope to rule when their country is liberated"
"hydrochlorothiazide","a diuretic drug (trade name Microzide, Esidrix, and HydroDIURIL) used in the treatment of hypertension"
"hysterosalpingogram","X ray of the uterus and Fallopian tubes"
"hydroxytetracycline","a yellow crystalline antibiotic (trademark Terramycin) obtained from a soil actinomycete"
"hyperparathyroidism","excessive secretion of parathyroid hormone resulting in abnormally high levels of calcium in the blood"
"hypoadrenocorticism","a glandular disorder caused by failure of function of the cortex of the adrenal gland and marked by anemia and prostration with brownish skin"
"hypolipoproteinemia","any of various disorders of lipoprotein and cholesterol metabolism that result in low levels of lipoprotein and cholesterol in the circulating blood"
"individualistically","in an individualistic manner"
"interdenominational","occurring between or among or common to different churches or denominations"
"industrial-strength","extremely strong or concentrated or durable"
"interchangeableness","the quality of being capable of exchange or interchange"
"incontrovertibility","the quality of being undeniable and not worth arguing about"
"incomprehensibility","the quality of being incomprehensible"
"intellectualization","(psychiatry) a defense mechanism that uses reasoning to block out emotional stress and conflict"
"intellectualisation","(psychiatry) a defense mechanism that uses reasoning to block out emotional stress and conflict"
"most-favored-nation","of or relating to a commercial treaty where two nations agree to accord each other the same favorable terms that would be offered in treaties with any other nation"
"mother-of-thousands","eastern Asiatic saxifrage with racemes of small red-and-white flowers"
"meningoencephalitis","inflammation of the brain and spinal cord and their meninges"
"nonrepresentational","of or relating to a style of art in which objects do not resemble those known in physical nature"
"otorhinolaryngology","the medical specialty that deals with diseases of the ear, nose and throat"
"order-Chenopodiales","corresponds approximately to the older group Centrospermae"
"oxidation-reduction","a reversible chemical reaction in which one reaction is an oxidation and the reverse is a reduction"
"parasympathomimetic","having an effect similar to that resulting from stimulation of the parasympathetic nervous system"
"phacoemulsification","extracapsular surgery for cataracts in which ultrasonic sound breaks the cortex and nucleus of the lens into small fragments that are then vacuumed away through a small tube"
"pneumoencephalogram","an X ray of the brain made by replacing spinal fluid with a gas, usually oxygen to improve contrast"
"phenylpropanolamine","an adrenergic drug used in many preparations to relieve allergic reactions or respiratory infections"
"pocket-handkerchief","a handkerchief that is carried in a pocket"
"professionalization","the social process whereby people come to engage in an activity for pay or as a means of livelihood"
"professionalisation","the social process whereby people come to engage in an activity for pay or as a means of livelihood"
"pseudohallucination","an image vivid enough to be a hallucination but recognized as unreal"
"radiopharmaceutical","pharmaceutical consisting of a radioactive compound used in radiation therapy"
"recruiting-sergeant","a sergeant deputized to enlist recruits"
"resorcinolphthalein","a yellow dye that is visible even when highly diluted"
"sociolinguistically","with respect to sociolinguistics"
"self-aggrandizement","an act undertaken to increase your own power and influence or to draw attention to your own importance"
"self-aggrandisement","an act undertaken to increase your own power and influence or to draw attention to your own importance"
"straightforwardness","without hypocrisy"
"straightforwardness","the quality of being direct and straightforward"
"sternocleidomastoid","one of two thick muscles running from the sternum and clavicle to the mastoid and occipital bone"
"tetrachloroethylene","anthelmintic agent used against hookworm and other nematodes"
